Date,Close,Volume,Open,High,Low,Foreign Buy,Foreign Sell,Foreign Value
21/03/2025,10,0,10,10,10,0,0,0
20/03/2025,10,0,10,10,10,0,0,0
19/03/2025,10,0,10,10,10,0,0,0
18/03/2025,10,0,10,10,10,0,0,0
17/03/2025,10,0,10,10,10,0,0,0
14/03/2025,10,"1,000",10,10,10,0,0,0
13/03/2025,10,0,10,10,10,0,0,0
12/03/2025,10,100,10,10,10,0,0,0
11/03/2025,9.90,0,9.90,9.90,9.90,0,0,0
10/03/2025,9.90,0,9.90,9.90,9.90,0,0,0
07/03/2025,9.90,0,9.90,9.90,9.90,0,0,0
06/03/2025,9.90,0,9.90,9.90,9.90,0,0,0
05/03/2025,9.90,100,9.90,9.90,9.90,0,0,0
04/03/2025,9,0,9,9,9,0,0,0
03/03/2025,9,0,9,9,9,0,0,0
28/02/2025,9,0,9,9,9,0,0,0
27/02/2025,9,0,9,9,9,0,0,0
26/02/2025,9,0,9,9,9,0,0,0
25/02/2025,9,0,9,9,9,0,0,0
24/02/2025,9,0,9,9,9,0,0,0
21/02/2025,9,0,9,9,9,0,0,0
20/02/2025,9,300,9,9,9,0,0,0
19/02/2025,9.10,0,9.10,9.10,9.10,0,0,0
18/02/2025,9.10,0,9.10,9.10,9.10,0,0,0
17/02/2025,9.10,0,9.10,9.10,9.10,0,0,0
14/02/2025,9.10,0,9.10,9.10,9.10,0,0,0
13/02/2025,9.10,0,9.10,9.10,9.10,0,0,0
12/02/2025,9.10,0,9.10,9.10,9.10,0,0,0
11/02/2025,9.10,6,9.10,9.10,9.10,0,0,0
10/02/2025,9.10,100,9.10,9.10,9.10,0,0,0
07/02/2025,9,100,9,9,9,0,0,0
06/02/2025,10,1,9.80,9.80,9.80,0,0,0
05/02/2025,9.80,0,9.80,9.80,9.80,0,0,0
04/02/2025,9.80,0,9.80,9.80,9.80,0,0,0
03/02/2025,9.80,0,9.80,9.80,9.80,0,0,0
24/01/2025,10,200,9.50,10,9.50,0,0,0
23/01/2025,9,0,9,9,9,0,0,0
22/01/2025,9,0,9,9,9,0,0,0
21/01/2025,9,100,9,9,9,0,0,0
20/01/2025,9.60,0,9.60,9.60,9.60,0,0,0
17/01/2025,9.60,0,9.60,9.60,9.60,0,0,0
16/01/2025,9.60,0,9.60,9.60,9.60,0,0,0
15/01/2025,9.60,0,9.60,9.60,9.60,0,0,0
14/01/2025,9.60,0,9.60,9.60,9.60,0,0,0
13/01/2025,9.60,"2,400",9.60,9.60,9.60,0,0,0
10/01/2025,9.40,0,9.40,9.40,9.40,0,0,0
09/01/2025,9.40,0,9.40,9.40,9.40,0,0,0
08/01/2025,9.40,"1,700",9.40,9.40,9.40,0,0,0
07/01/2025,9.40,0,9.40,9.40,9.40,0,0,0
06/01/2025,9.90,9,9.40,9.40,9.40,0,0,0
03/01/2025,9.90,"1,100",9.30,9.90,9.30,0,0,0
02/01/2025,9.30,500,9.30,9.30,9.30,0,0,0
31/12/2024,9.20,100,9.20,9.20,9.20,0,0,0
30/12/2024,9.20,0,9.20,9.20,9.20,0,0,0
27/12/2024,9.20,0,9.20,9.20,9.20,0,0,0
26/12/2024,9.20,200,9.20,9.20,9.20,0,0,0
25/12/2024,9.90,0,9.90,9.90,9.90,0,0,0
24/12/2024,9.90,1,9.90,9.90,9.90,0,0,0
23/12/2024,9.90,"1,001",9.90,9.90,9.90,0,0,0
20/12/2024,9.90,0,9.90,9.90,9.90,0,0,0
19/12/2024,9.80,"3,700",11.10,11.10,9.80,0,0,0
18/12/2024,9.80,0,9.80,9.80,9.80,0,0,0
17/12/2024,9.80,100,9.80,9.80,9.80,0,0,0
16/12/2024,9.30,400,9.80,9.80,9.30,0,0,0
13/12/2024,9.30,0,9.30,9.30,9.30,0,0,0
12/12/2024,9.30,0,9.30,9.30,9.30,0,0,0
11/12/2024,9.30,0,9.30,9.30,9.30,0,0,0
10/12/2024,9.30,0,9.30,9.30,9.30,0,0,0
09/12/2024,9.30,0,9.30,9.30,9.30,0,0,0
06/12/2024,9.30,100,9.30,9.30,9.30,0,0,0
05/12/2024,9.30,0,9.30,9.30,9.30,0,0,0
04/12/2024,9.30,"1,600",9.30,9.30,9.30,0,0,0
03/12/2024,9.90,0,9.90,9.90,9.90,0,0,0
02/12/2024,9.90,100,9.90,9.90,9.90,0,0,0
29/11/2024,9.90,301,9.90,9.90,9,0,0,0
28/11/2024,9,"1,000",11,11,9,0,0,0
27/11/2024,9.70,500,9.70,9.70,9.70,0,0,0
26/11/2024,9.70,100,9.70,9.70,9.70,0,0,0
25/11/2024,9,0,9,9,9,0,0,0
22/11/2024,9,0,9,9,9,0,0,0
